21, 2, Elysium, #00CC33, Monoculture, an Ordered Forest
22, 2, Elysium, #00CC33, Monoculture, an Ordered Forest
23, 2, Elysium, #00CC33, Monoculture, an Ordered Forest
24, 2, Elysium, #00CC33, Monoculture, an Ordered Forest
25, 2, Elysium, #00CC33, Monoculture, an Ordered Forest
21, 3, Elysium, #8AA37B, Crystal Fields, an Argentium Remnants
22, 3, Elysium, #CC9900, Gate of, a Clockwork Tower
23, 3, Elysium, #CC66FF, Monad, a Crystal Castle
24, 3, Elysium, #000000, Arc of, a Greater Spire
25, 3, Elysium, #00CC33, Monoculture, an Ordered Forest
21, 4, Elysium, #8AA37B, Constructor Primus, an Argent Hatchery
22, 4, Elysium, #6666FF, Habitation, an Inn
23, 4, Elysium, #FF3300, Plantae, a Vivarium
24, 4, Elysium, #8AA37B, Crystal Fields, an Argentium Remnants
25, 4, Elysium, #00CC33, Monoculture, an Ordered Forest
21, 5, Elysium, #00CC33, Monoculture, an Ordered Forest
22, 5, Elysium, #00CC33, Monoculture, an Ordered Forest
23, 5, Elysium, #00CC33, Monoculture, an Ordered Forest
24, 5, Elysium, #00CC33, Monoculture, an Ordered Forest
25, 5, Elysium, #00CC33, Monoculture, an Ordered Forest
21, 6, Elysium, #00CC33, Monoculture, an Ordered Forest
22, 6, Elysium, #8AA37B, Crystal Fields, an Argentium Remnants
23, 6, Elysium, #EEEEEE, Tower of, an Ivory Tower
24, 6, Elysium, #8AA37B, Crystal Fields, an Argentium Remnants
25, 6, Elysium, #00CC33, Monoculture, an Ordered Forest